key,class_name,class_description
ScriptIntrinsicConvolve5x5_create,script intrinsic convolve5x5,
CollapsibleActionView_onActionViewExpanded,collapsible action view,"when a view implements this interface it will receive callbacks when expanded or collapsed as an action view alongside the optional, app specified callbacks to onactionexpandlistener."
PaintDrawable_setCornerRadius,paint drawable,"drawable that draws its bounds in the given paint, with optional rounded corners."
TemplatesHandler_getTemplates,templates handler,a sax contenthandler that may be used to process sax parse events (parsing transformation instructions) into a templates object.
Schema_newValidator,schema,immutable in memory representation of grammar.
EncodedKeySpec_getEncoded,encoded key spec,this class represents a public or private key in encoded format.
SurfaceTexture_attachToGLContext,surface texture,captures frames from an image stream as an opengl es texture.
ServerSocketChannel_accept,server socket channel,a selectable channel for stream oriented listening sockets.
UnmappableCharacterException_getMessage,unmappable character exception,checked exception thrown when an input character (or byte) sequence is valid but cannot be mapped to an output byte (or character) sequence.
PipedOutputStream_flush,piped output stream,"a piped output stream can be connected to a piped input stream to create a communications pipe. the piped output stream is the sending end of the pipe. typically, data is written to a pipedoutputstream object by one thread and data is read from the connected pipedinputstream by some other thread. attempting to use both objects from a single thread is not recommended as it may deadlock the thread. the pipe is said to be  broken  if a thread that was reading data bytes from the connected piped input stream is no longer alive."
Text_isElementContentWhitespace,text,"the text interface inherits from characterdata and represents the textual content (termed character data in xml) of an element or attr. if there is no markup inside an element's content, the text is contained in a single object implementing the text interface that is the only child of the element. if there is markup, it is parsed into the information items (elements, comments, etc.) and text nodes that form the list of children of the element."
BackupDataInputStream_read,backup data input stream,provides an inputstream like interface for accessing an entity's data during a restore operation. used by backuphelper classes within the backupagenthelper mechanism.
LineHeightSpan_chooseHeight,line height span,the classes that affect the line height of paragraph should implement this interface.
AbstractSelector_provider,abstract selector,base implementation class for selectors.
GestureUtils_computeOrientedBoundingBox,gesture utils,"utility functions for gesture processing & analysis, including methods for:"
RowSetWriter_writeData,row set writer,"an object that implements the rowsetwriter interface, called a writer. a writer may be registered with a rowset object that supports the reader/writer paradigm."
TransitionDrawable_draw,transition drawable,"an extension of layerdrawables that is intended to cross fade between the first and second layer. to start the transition, call starttransition(int). to display just the first layer, call resettransition()."
AccessControlException_getPermission,access control exception,
Entity_getXmlEncoding,entity,"this interface represents a known entity, either parsed or unparsed, in an xml document. note that this models the entity itself not the entity declaration."
PrintWriterPrinter_println,print writer printer,implementation of a printer that sends its output to a printwriter.
SSLSessionBindingEvent_getSession,ssl session binding event,"this event is propagated to a sslsessionbindinglistener. when a listener object is bound or unbound to an sslsession by sslsession#putvalue(string, object) or sslsession#removevalue(string), objects which implement the sslsessionbindinglistener will be receive an event of this type.  the event's name field is the key in which the listener is being bound or unbound."
GZIPOutputStream_write,g z i p output stream,this class implements a stream filter for writing compressed data in the gzip file format.
InputStream_close,input stream,this abstract class is the superclass of all classes representing an input stream of bytes.
ECPrivateKeySpec_getS,e c private key spec,this immutable class specifies an elliptic curve private key with its associated parameters.
CertPathValidator_getProvider,cert path validator,a class for validating certification paths (also known as certificate chains).
Filter_isLoggable,filter,"a filter can be used to provide fine grain control over what is logged, beyond the control provided by log levels."
ReplacementTransformationMethod_getTransformation,replacement transformation method,this transformation method causes the characters in the getoriginal() array to be replaced by the corresponding characters in the getreplacement() array.
RingtonePreference_getShowSilent,ringtone preference,
DataTruncation_getDataSize,data truncation,an exception  thrown as a datatruncation exception (on writes) or reported as a datatruncation warning (on reads)  when a data values is unexpectedly truncated for reasons other than its having  execeeded maxfieldsize.
MockContentResolver_notifyChange,mock content resolver,
WebBackForwardList_getItemAtIndex,web back forward list,this class contains the back/forward list for a webview. webview.copybackforwardlist() will return a copy of this class used to inspect the entries in the list.
SocketFactory_connectSocket,socket factory,
IntentService_onCreate,intent service,
Shape_clone,shape,"defines a generic graphical ""shape."""
ParcelableSpan_getSpanTypeId,parcelable span,a special kind of parcelable for objects that will serve as text spans. this can only be used by code in the framework; it is not intended for applications to implement their own parcelable spans.
HostnameVerifier_verify,hostname verifier,this class is the base interface for hostname verification.
ClipDrawable_draw,clip drawable,"a drawable that clips another drawable based on this drawable's current level value.  you can control how much the child drawable gets clipped in width and height based on the level, as well as a gravity to control where it is placed in its overall container.  most often used to implement things like progress bars, by increasing the drawable's level with setlevel()."
SecureRandom_getInstance,secure random,this class provides a cryptographically strong random number generator (rng).
FileObserver_startWatching,file observer,"monitors files (using inotify) to fire an event after files are accessed or changed by any process on the device (including this one).  fileobserver is an abstract class; subclasses must implement the event handler onevent(int, java.lang.string)."
CheckedOutputStream_getChecksum,checked output stream,an output stream that also maintains a checksum of the data being written. the checksum can then be used to verify the integrity of the output data.
WildcardType_getUpperBounds,wildcard type,"wildcardtype represents a wildcard type expression, such as ?, ? extends number, or ? super integer."
QuickContactBadge_onClick,quick contact badge,widget used to show an image with the standard quickcontact badge and on click behavior.
CancellationSignal_isCanceled,cancellation signal,provides the ability to cancel an operation in progress.
AbsoluteLayout_generateLayoutParams,absolute layout,
HostApduService_notifyUnhandled,host apdu service,
AutoText_get,auto text,this class accesses a dictionary of corrections to frequent misspellings.
SensorEventListener2_onFlushCompleted,sensor event listener2,used for receiving a notification when a flush() has been successfully completed.
DSAParams_getQ,dsa params,"interface to a dsa specific set of key parameters, which defines a dsa key family. dsa (digital signature algorithm) is defined in nist's fips 186."
KeyguardManager_isKeyguardLocked,keyguard manager,class that can be used to lock and unlock the keyguard. the actual class to control the keyguard locking is keyguardmanager.keyguardlock.
CertStoreSpi_engineGetCRLs,cert store spi,"the service provider interface (spi) for the certstore class. all certstore implementations must include a class (the spi class) that extends this class (certstorespi), provides a constructor with a single argument of type certstoreparameters, and implements all of its methods. in general, instances of this class should only be accessed through the certstore class. for details, see the java cryptography architecture."
SocketHandler_publish,socket handler,simple network logging handler.
SAXParseException_getLineNumber,s a x parse exception,encapsulate an xml parse error or warning.
WifiP2pServiceRequest_equals,wifi p2p service request,a class for creating a service discovery request for use with wifip2pmanager#addservicerequest and wifip2pmanager#removeservicerequest
X509KeyManager_chooseServerAlias,x509 key manager,instances of this interface manage which x509 certificate based key pairs are used to authenticate the local side of a secure socket.
ECField_getFieldSize,e c field,this interface represents an elliptic curve (ec) finite field. all specialized ec fields must implements this interface.
ConnectionEventListener_connectionErrorOccurred,connection event listener,
ImageSpan_getSource,image span,span that replaces the text it's attached to with a drawable that can be aligned with the bottom or with the baseline of the surrounding text. the drawable can be constructed from varied sources:
ImageSwitcher_setImageResource,image switcher,viewswitcher that switches between two imageviews when a new image is set on it. the views added to an imageswitcher must all be imageviews.
XMLFilter_setParent,xml filter,interface for an xml filter.
CursorJoiner_next,cursor joiner,does a join on two cursors using the specified columns. the cursors must already be sorted on each of the specified columns in ascending order. this joiner only supports the case where the tuple of key column values is unique.
EventListenerProxy_getListener,event listener proxy,an abstract wrapper class for an eventlistener class which associates a set of additional parameters with the listener. subclasses must provide the storage and accessor methods for the additional arguments or parameters.
DSAKey_getParams,dsa key,the interface to a dsa public or private key. dsa (digital signature algorithm) is defined in nist's fips 186.
WebHistoryItem_getTitle,web history item,a convenience class for accessing fields in an entry in the back/forward list of a webview. each webhistoryitem is a snapshot of the requested history item.
DOMConfiguration_getParameterNames,dom configuration,"the domconfiguration interface represents the configuration of a document and maintains a table of recognized parameters. using the configuration, it is possible to change document.normalizedocument() behavior, such as replacing the cdatasection nodes with text nodes or specifying the type of the schema that must be used when the validation of the document is requested. domconfiguration objects are also used in [dom level 3 load and save]  in the domparser and domserializer interfaces."
HttpAuthHandler_useHttpAuthUsernamePassword,http auth handler,"represents a request for http authentication. instances of this class are created by the webview and passed to webviewclient#onreceivedhttpauthrequest. the host application must call either proceed(string, string) or cancel() to set the webview's response to the request."
ScheduledExecutorService_schedule,scheduled executor service,"an executorservice that can schedule commands to run after a given delay, or to execute periodically."
PreferenceChangeEvent_getKey,preference change event,"an event emitted by a preferences node to indicate that a preference has been added, removed or has had its value changed."
AppWidgetHost_startListening,app widget host,"appwidgethost provides the interaction with the appwidget service for apps, like the home screen, that want to embed appwidgets in their ui."
TypeInfoProvider_isIdAttribute,type info provider,this class provides access to the type information determined by validatorhandler.
AsyncPlayer_stop,async player,"plays a series of audio uris, but does all the hard work on another thread so that any slowness with preparing or loading doesn't block the calling thread."
AccessibilityEventSource_sendAccessibilityEventUnchecked,accessibility event source,an editable text view that shows completion suggestions automatically while the user is typing.
CRLSelector_clone,crl selector,a selector that defines a set of criteria for selecting crls. classes that implement this interface are often used to specify which crls should be retrieved from a certstore.
InvalidClassException_getMessage,invalid class exception,thrown when the serialization runtime detects one of the following problems with a class.
JarFile_getInputStream,jar file,the jarfile class is used to read the contents of a jar file from any file that can be opened with java.io.randomaccessfile. it extends the class java.util.zip.zipfile with support for reading an optional manifest entry. the manifest can be used to specify meta information about the jar file and its entries.
EndTextElementListener_end,end text element listener,listens for the end of text elements.
AlgorithmParameters_toString,algorithm parameters,this class is used as an opaque representation of cryptographic parameters.
LayeredSocketFactory_createSocket,layered socket factory,
ContextThemeWrapper_getResources,context theme wrapper,a context wrapper that allows you to modify or replace the theme of the wrapped context.
DOMStringList_contains,dom string list,"the domstringlist interface provides the abstraction of an ordered collection of domstring values, without defining or constraining how this collection is implemented. the items in the domstringlist are accessible via an integral index, starting from 0."
ComponentCallbacks_onLowMemory,component callbacks,hostapduservice is a convenience service class that can be extended to emulate an nfc card inside an android service component.
BaseDexClassLoader_findLibrary,base dex class loader,base class for common functionality between various dex based classloader implementations.
InstrumentationTestCase_launchActivityWithIntent,instrumentation test case,
PreferenceCategory_shouldDisableDependents,preference category,
SubMenu_setHeaderView,sub menu,subclass of menu for sub menus.
Locator2_getEncoding,locator2,"sax2 extension to augment the entity information provided though a locator. if an implementation supports this extension, the locator provided in contenthandler.setdocumentlocator()  will implement this interface, and the http://xml.org/sax/features/use locator2 feature flag will have the value true."
ErrorManager_error,error manager,errormanager objects can be attached to handlers to process any error that occurs on a handler during logging.
EntityIterator_reset,entity iterator,a specialization of iterator that allows iterating over a collection of entity objects. in addition to the iteration functionality it also allows resetting the iterator back to the beginning and provides for an explicit close() method to indicate that the iterator is no longer needed and that its resources can be released.
RecognitionService_onBind,recognition service,this class provides a base class for recognition service implementations. this class should be extended only in case you wish to implement a new speech recognizer. please note that the implementation of this service is stateless.
IInterface_asBinder,i interface,"base class for binder interfaces.  when defining a new interface, you must derive it from iinterface."
Attributes2_isDeclared,attributes2,"sax2 extension to augment the per attribute information provided though attributes. if an implementation supports this extension, the attributes provided in contenthandler.startelement()  will implement this interface, and the http://xml.org/sax/features/use attributes2 feature flag will have the value true."
PowerManager_reboot,power manager,this class lets you query and request control of aspects of the device's power state.
FilterQueryProvider_runQuery,filter query provider,this class can be used by external clients of cursoradapter and cursortreeadapter to define how the content of the adapter should be filtered.
DESedeKeySpec_isParityAdjusted,d e sede key spec,"this class specifies a des ede (""triple des"") key."
FileBackupHelper_writeNewStateDescription,file backup helper,"a helper class that can be used in conjunction with backupagenthelper to manage the backup of a set of files. whenever backup is performed, all files changed since the last backup will be saved in their entirety. when backup first occurs, every file in the list provided to filebackuphelper(context, string...) will be backed up."
Choreographer_postFrameCallback,choreographer,"coordinates the timing of animations, input and drawing."
ToneGenerator_release,tone generator,"this class provides methods to play dtmf tones (itu t recommendation q.23), call supervisory tones (3gpp ts 22.001, cept) and proprietary tones (3gpp ts 31.111). depending on call state and routing options, tones are mixed to the downlink audio or output to the speaker phone or headset. this api is not for generating tones over the uplink audio path."
HandshakeCompletedListener_handshakeCompleted,handshake completed listener,this interface is implemented by any class which wants to receive notifications about the completion of an ssl protocol handshake on a given ssl connection.
TagTechnology_connect,tag technology,tagtechnology is an interface to a technology in a tag.
Random_nextGaussian,random,"an instance of this class is used to generate a stream of pseudorandom numbers. the class uses a 48 bit seed, which is modified using a linear congruential formula. (see donald knuth, the art of computer programming, volume 2, section 3.2.1.)"
RadioButton_toggle,radio button,
BackupDataOutput_writeEntityHeader,backup data output,"provides the structured interface through which a backupagent commits information to the backup data set, via its onbackup() method.  data written for backup is presented as a set of ""entities,"" key/value pairs in which each binary data record ""value"" is named with a string ""key."""
PooledConnection_getConnection,pooled connection,"an object that provides hooks for connection pool management. a pooledconnection object represents a physical connection to a data source.  the connection can be recycled rather than being closed when an application is finished with it, thus reducing the number of connections that need to be made."
CacheRequest_getBody,cache request,"represents channels for storing resources in the responsecache. instances of such a class provide an outputstream object which is called by protocol handlers to store the resource data into the cache, and also an abort() method which allows a cache store operation to be interrupted and abandoned. if an ioexception is encountered while reading the response or writing to the cache, the current cache store operation will be aborted."
ViewFlipper_stopFlipping,view flipper,"simple viewanimator that will animate between two or more views that have been added to it.  only one child is shown at a time.  if requested, can automatically flip between each child at a regular interval."
KeyChainAliasCallback_alias,key chain alias callback,"the keychainaliascallback is the callback for keychain.chooseprivatekeyalias(activity, keychainaliascallback, string[], principal[], uri, string)."
InterfaceAddress_getAddress,interface address,"this class represents a network interface address. in short it's an ip address, a subnet mask and a broadcast address when the address is an ipv4 one. an ip address and a network prefix length in the case of ipv6 address."
TabStopSpan_getTabStop,tab stop span,paragraph affecting span that changes the position of the tab with respect to the leading margin of the line. tabstopspan will only affect the first tab encountered on the first line of the text.
LSSerializer_writeToURI,l s serializer,a lsserializer provides an api for serializing (writing) a dom document out into xml. the xml data is written to a string or an output stream. any changes or fixups made during the serialization affect only the serialized data. the document object and its children are never altered by the serialization operation.
GeolocationPermissions_clear,geolocation permissions,"this class is used to manage permissions for the webview's geolocation javascript api. geolocation permissions are applied to an origin, which consists of the host, scheme and port of a uri. in order for web content to use the geolocation api, permission must be granted for that content's origin. this class stores geolocation permissions. an origin's permission state can be either allowed or denied. this class uses strings to represent an origin. when an origin attempts to use the geolocation api, but no permission state is currently set for that origin, webchromeclient.ongeolocationpermissionsshowprompt() is called. this allows the permission state to be set for that origin. the methods of this class can be used to modify and interrogate the stored geolocation permissions at any time."
EdgeEffect_isFinished,edge effect,this class performs the graphical effect used at the edges of scrollable widgets when the user scrolls beyond the content bounds in 2d space.
TextDirectionHeuristic_isRtl,text direction heuristic,interface for objects that use a heuristic for guessing at the paragraph direction by examining text.
FloatEvaluator_evaluate,float evaluator,this evaluator can be used to perform type interpolation between float values.
WebViewFragment_onDestroy,web view fragment,
ToggleButton_setChecked,toggle button,"displays checked/unchecked states as a button with a ""light"" indicator and by default accompanied with the text ""on"" or ""off""."
XPathFunction_evaluate,x path function,
SocketImplFactory_createSocketImpl,socket impl factory,this interface defines a factory for socket implementations. it is used by the classes socket and serversocket to create actual socket implementations.
IllegalCharsetNameException_getCharsetName,illegal charset name exception,unchecked exception thrown when a string that is not a legal charset name is used as such.
Destroyable_isDestroyed,destroyable,objects such as credentials may optionally implement this interface to provide the capability to destroy its contents.
TimedText_getText,timed text,"class to hold the timed text's metadata, including:"
DatagramSocketImplFactory_createDatagramSocketImpl,datagram socket impl factory,this interface defines a factory for datagram socket implementations. it is used by the classes datagramsocket to create actual socket implementations.
ViewDebug_dumpCapturedView,view debug,various debugging/tracing tools related to view and the view hierarchy.
Channel_isOpen,channel,instances of this class represent an iso/iec 7816 4 channel opened to a secure element. it can be either a logical channel or the basic channel. they can be used to send apdus to the secure element. channels are opened by calling the session.openbasicchannel(byte[]) or session.openlogicalchannel(byte[]) methods.
SAXTransformerFactory_newXMLFilter,s a x transformer factory,"this class extends transformerfactory to provide sax specific factory methods.  it provides two types of contenthandlers, one for creating transformers, the other for creating templates objects."
Shader_getLocalMatrix,shader,shader is the base class for objects that return horizontal spans of colors during drawing. a subclass of shader is installed in a paint calling paint.setshader(shader). after that any object (other than a bitmap) that is drawn with that paint will get its color(s) from the shader.
ContentUris_appendId,content uris,"utility methods useful for working with uri objects that use the ""content"" (content://) scheme."
PrintStreamPrinter_println,print stream printer,implementation of a printer that sends its output to a printstream.
TextPaint_set,text paint,textpaint is an extension of paint that leaves room for some extra data used during text measuring and drawing.
AbstractSelectionKey_cancel,abstract selection key,base implementation class for selection keys.
Retention_value,retention,"indicates how long annotations with the annotated type are to be retained.  if no retention annotation is present on an annotation type declaration, the retention policy defaults to retentionpolicy.class."
SSLSessionContext_getSessionCacheSize,ssl session context,"a sslsessioncontext represents a set of sslsessions associated with a single entity. for example, it could be associated with a server or client who participates in many sessions concurrently."
Signer_setKeyPair,signer,
DeclHandler_elementDecl,decl handler,sax2 extension handler for dtd declaration events.
CRL_isRevoked,crl,
DropBoxManager_addFile,drop box manager,"enqueues chunks of data (from various sources    application crashes, kernel log records, etc.).  the queue is size bounded and will drop old data if the enqueued data exceeds the maximum size.  you can think of this as a persistent, system wide, blob oriented ""logcat""."
DatabaseErrorHandler_onCorruption,database error handler,an interface to let apps define an action to take when database corruption is detected.
DisplayManager_getDisplay,display manager,manages the properties of attached displays.
IntEvaluator_evaluate,int evaluator,this evaluator can be used to perform type interpolation between int values.
DHPrivateKey_getX,d h private key,the interface to a diffie hellman private key.
ObjectInputValidation_validateObject,object input validation,callback interface to allow validation of objects within a graph. allows an object to be called when a complete graph of objects has been deserialized.
AtomicBoolean_get,atomic boolean,"a boolean value that may be updated atomically. see the varhandle specification for descriptions of the properties of atomic accesses. an atomicboolean is used in applications such as atomically updated flags, and cannot be used as a replacement for a boolean."
FocusFinder_findNextFocus,focus finder,the algorithm used for finding the next focusable view in a given direction from a view that currently has focus.
ServiceConnection_onServiceConnected,service connection,interface for monitoring the state of an application service.  see service and context.bindservice() for more information.
GatheringByteChannel_write,gathering byte channel,a channel that can write bytes from a sequence of buffers.
SQLiteTransactionListener_onBegin,sqlite transaction listener,a listener for transaction events.
CharSequence_length,char sequence,"a charsequence is a readable sequence of char values. this interface provides uniform, read only access to many different kinds of char sequences. a char value represents a character in the basic multilingual plane (bmp) or a surrogate. refer to unicode character representation for details."
Fade_onAppear,fade,this transition tracks changes to the visibility of target views in the start and end scenes and fades views in or out when they become visible or non visible. visibility is determined by both the view#setvisibility(int) state of the view as well as whether it is parented in the current view hierarchy.
FilenameFilter_accept,filename filter,"instances of classes that implement this interface are used to filter filenames. these instances are used to filter directory listings in the list method of class file, and by the abstract window toolkit's file dialog component."
MutableContextWrapper_setBaseContext,mutable context wrapper,special version of contextwrapper that allows the base context to be modified after it is initially set.
TransformationMethod_getTransformation,transformation method,"textview uses transformationmethods to do things like replacing the characters of passwords with dots, or keeping the newline characters from causing line breaks in single line text fields."
VersionInfo_toString,version info,class to store version numbers of the form major.minor.milli.micro.
Advanceable_advance,advanceable,this interface can be implemented by any collection type view which has a notion of progressing through its set of children. the interface exists to give appwidgethosts a way of taking responsibility for automatically advancing such collections.
AnnotationTypeMismatchException_element,annotation type mismatch exception,thrown to indicate that a program has attempted to access an element of an annotation whose type has changed after the annotation was compiled (or serialized). this exception can be thrown by the api used to read annotations reflectively.
FileFilter_accept,file filter,a filter for abstract pathnames.
SensorListener_onAccuracyChanged,sensor listener,
ObjectOutput_close,object output,"objectoutput extends the dataoutput interface to include writing of objects. dataoutput includes methods for output of primitive types, objectoutput extends that interface to include objects, arrays, and strings."
RSAPublicKeySpec_getPublicExponent,rsa public key spec,this class specifies an rsa public key.
ResourceCursorTreeAdapter_newGroupView,resource cursor tree adapter,a fairly simple expandablelistadapter that creates views defined in an xml file. you can specify the xml file that defines the appearance of the views.
AttributedCharacterIterator_getRunStart,attributed character iterator,an attributedcharacteriterator allows iteration through both text and related attribute information.
TestTargetClass_value,test target class,
FileNameMap_getContentTypeFor,file name map,a simple interface which provides a mechanism to map between a file name and a mime type string.
OutputStream_close,output stream,this abstract class is the superclass of all classes representing an output stream of bytes. an output stream accepts output bytes and sends them to some sink.
Base64OutputStream_write,base64 output stream,"an outputstream that does base64 encoding on the data written to it, writing the resulting data to another outputstream."
Closeable_close,closeable,a closeable is a source or destination of data that can be closed. the close method is invoked to release resources that the object is holding (such as open files).
TypeInfo_getTypeNamespace,type info,"the typeinfo interface represents a type referenced from element or attr nodes, specified in the schemas associated with the document. the type is a pair of a namespace uri and name properties, and depends on the document's schema."
RectShape_draw,rect shape,defines a rectangle shape.
TwoLineListItem_getText1,two line list item,
DatatypeConfigurationException_printStackTrace,datatype configuration exception,
Owner_addOwner,owner,
SectionIndexer_getPositionForSection,section indexer,interface that may implemented on adapters to enable fast scrolling between sections of an abslistview.
Struct_getSQLTypeName,struct,
Normalizer_normalize,normalizer,"this class provides the method normalize which transforms unicode text into an equivalent composed or decomposed form, allowing for easier sorting and searching of text. the normalize method supports the standard normalization forms described in  unicode standard annex #15 — unicode normalization forms."
MissingFormatArgumentException_getFormatSpecifier,missing format argument exception,unchecked exception thrown when there is a format specifier which does not have a corresponding argument or if an argument index refers to an argument that does not exist.
TransformerFactoryConfigurationError_getMessage,transformer factory configuration error,thrown when a problem with configuration with the transformer factories exists. this error will typically be thrown when the class of a transformation factory specified in the system properties cannot be found or instantiated.
NodeChangeEvent_getChild,node change event,an event emitted by a preferences node to indicate that a child of that node has been added or removed.
HttpRetryException_responseCode,http retry exception,"thrown to indicate that a http request needs to be retried but cannot be retried automatically, due to streaming mode being enabled."
TargetApi_value,target api,"indicates that lint should treat this type as targeting a given api level, no matter what the project target is."
IllegalFormatPrecisionException_getMessage,illegal format precision exception,"unchecked exception thrown when the precision is a negative value other than  1, the conversion does not support a precision, or the value is otherwise unsupported."
WrapperListAdapter_getWrappedAdapter,wrapper list adapter,list adapter that wraps another list adapter. the wrapped adapter can be retrieved by calling getwrappedadapter().
PKIXCertPathBuilderResult_toString,p k i x cert path builder result,this class represents the successful result of the pkix certification path builder algorithm. all certification paths that are built and returned using this algorithm are also validated according to the pkix certification path validation algorithm.
WifiP2pDnsSdServiceRequest_newInstance,wifi p2p dns sd service request,a class for creating a bonjour service discovery request for use with wifip2pmanager#addservicerequest and wifip2pmanager#removeservicerequest
WindowManager_removeViewImmediate,window manager,the interface that apps use to talk to the window manager.
DefaultDatabaseErrorHandler_onCorruption,default database error handler,default class used to define the action to take when database corruption is reported by sqlite.
ContentObservable_registerObserver,content observable,a specialization of observable for contentobserver that provides methods for sending notifications to a list of contentobserver objects.
PreferenceChangeListener_preferenceChange,preference change listener,a listener for receiving preference change events.
SSLSessionBindingListener_valueUnbound,ssl session binding listener,"this interface is implemented by objects which want to know when they are being bound or unbound from a sslsession.  when either event occurs via sslsession#putvalue(string, object) or sslsession#removevalue(string), the event is communicated through a sslsessionbindingevent identifying the session."
Annotation_equals,annotation,the common interface extended by all annotation types.  note that an interface that manually extends this one does not define an annotation type.  also note that this interface does not itself define an annotation type. more information about annotation types can be found in section 9.6 of the java™ language specification. the annotatedelement interface discusses compatibility concerns when evolving an annotation type from being non repeatable to being repeatable.
XPathException_printStackTrace,x path exception,xpathexception represents a generic xpath exception.
ReadWriteLock_writeLock,read write lock,"a readwritelock maintains a pair of associated locks, one for read only operations and one for writing. the read lock may be held simultaneously by multiple reader threads, so long as there are no writers. the write lock is exclusive."
LoaderTestCase_getLoaderResultSynchronously,loader test case,a convenience class for testing loaders. this test case provides a simple way to synchronously get the result from a loader making it easy to assert that the loader returns the expected result.
DigitsKeyListener_filter,digits key listener,for digits only text entry
GpsStatus_getMaxSatellites,gps status,
PKCS8EncodedKeySpec_getEncoded,p k c s8 encoded key spec,"this class represents the asn.1 encoding of a private key, encoded according to the asn.1 type privatekeyinfo. the privatekeyinfo syntax is defined in the pkcs#8 standard as follows:"
OnObbStateChangeListener_onObbStateChange,on obb state change listener,used for receiving notifications from storagemanager about obb file states.
EGLObjectHandle_hashCode,egl object handle,base class for wrapped egl objects.
InflaterOutputStream_flush,inflater output stream,"implements an output stream filter for uncompressing data stored in the ""deflate"" compression format."
CertPathTrustManagerParameters_getParameters,cert path trust manager parameters,a wrapper for certpathparameters. this class is used to pass validation settings to certpath based trustmanagers using the trustmanagerfactory.init() method.
AlignmentSpan_getAlignment,alignment span,span that allows defining the alignment of text at the paragraph level.
DHPublicKeySpec_getY,d h public key spec,this class specifies a diffie hellman public key with its associated parameters.
FactoryConfigurationError_getException,factory configuration error,thrown when a problem with configuration with the parser factories exists. this error will typically be thrown when the class of a parser factory specified in the system properties cannot be found or instantiated.
MacSpi_clone,mac spi,this class defines the service provider interface (spi) for the mac class. all the abstract methods in this class must be implemented by each cryptographic service provider who wishes to supply the implementation of a particular mac algorithm.
DuplicateFormatFlagsException_getMessage,duplicate format flags exception,unchecked exception thrown when duplicate flags are provided in the format specifier.
CertPathBuilderResult_getCertPath,cert path builder result,a specification of the result of a certification path builder algorithm. all results returned by the certpathbuilder.build method must implement this interface.
Trace_endSection,trace,writes trace events to the system trace buffer.  these trace events can be collected and visualized using the systrace tool.
Templates_getOutputProperties,templates,an object that implements this interface is the runtime representation of processed transformation instructions.
AutoCloseable_close,auto closeable,"the cameradevice class is a representation of a single camera connected to an android device, allowing for fine grain control of image capture and post processing at high frame rates."
SQLClientInfoException_getFailedProperties,sql client info exception,"the subclass of sqlexception is thrown when one or more client info properties could not be set on a connection.  in addition to the information provided by sqlexception, a sqlclientinfoexception provides a list of client info properties that were not set. some databases do not allow multiple client info properties to be set atomically.  for those databases, it is possible that some of the client info properties had been set even though the connection.setclientinfo method threw an exception.  an application can use the getfailedproperties  method to retrieve a list of client info properties that were not set.  the properties are identified by passing a map<string,clientinfostatus> to the appropriate sqlclientinfoexception constructor."
CharsetProvider_charsets,charset provider,charset service provider class.
ConnectivityManager_isActiveNetworkMetered,connectivity manager,class that answers queries about the state of network connectivity. it also notifies applications when network connectivity changes.
LoudnessEnhancer_getTargetGain,loudness enhancer,"loudnessenhancer is an audio effect for increasing audio loudness. the processing is parametrized by a target gain value, which determines the maximum amount by which an audio signal will be amplified; signals amplified outside of the sample range supported by the platform are compressed. an application creates a loudnessenhancer object to instantiate and control a this audio effect in the audio framework. to attach the loudnessenhancer to a particular audiotrack or mediaplayer, specify the audio session id of this audiotrack or mediaplayer when constructing the effect (see audiotrack#getaudiosessionid() and mediaplayer#getaudiosessionid())."
TextServicesManager_newSpellCheckerSession,text services manager,"system api to the overall text services, which arbitrates interaction between applications and text services. the user can change the current text services in settings. and also applications can specify the target text services."
SslErrorHandler_cancel,ssl error handler,represents a request for handling an ssl error. instances of this class are created by the webview and passed to webviewclient#onreceivedsslerror. the host application must call either proceed() or cancel() to set the webview's response to the request.
FaceDetector_findFaces,face detector,identifies the faces of people in a bitmap graphic object.
InterruptibleChannel_close,interruptible channel,a channel that can be asynchronously closed and interrupted.
CamcorderProfile_hasProfile,camcorder profile,retrieves the predefined camcorder profile settings for camcorder applications. these settings are read only.
AttributedString_getIterator,attributed string,an attributedstring holds text and related attribute information. it may be used as the actual data storage in some cases where a text reader wants to access attributed text through the attributedcharacteriterator interface.
XPathFunctionResolver_resolveFunction,x path function resolver,
RSAPrivateKey_getPrivateExponent,rsa private key,the interface to an rsa private key.
PrintService_getActivePrintJobs,print service,
MetricAffectingSpan_updateMeasureState,metric affecting span,the classes that affect character level text formatting in a way that changes the width or height of characters extend this class.
ErrorHandler_warning,error handler,basic interface for sax error handlers.
Guard_checkGuard,guard,
CrossProcessCursor_fillWindow,cross process cursor,a cross process cursor is an extension of a cursor that also supports usage from remote processes.
Image_getTimestamp,image,
SocketImpl_toString,socket impl,the abstract class socketimpl is a common superclass of all classes that actually implement sockets. it is used to create both client and server sockets.
URLSpan_getURL,url span,"implementation of the clickablespan that allows setting a url string. when selecting and clicking on the text to which the span is attached, the urlspan will try to open the url, by launching an an activity with an intent#action_view intent."
LauncherActivity_makeListItems,launcher activity,
ViewGroupOverlay_remove,view group overlay,"a group overlay is an extra layer that sits on top of a viewgroup (the ""host view"") which is drawn after all other content in that view (including the view group's children). interaction with the overlay layer is done by adding and removing views and drawables."
